"X","item_num","student_seq","type","timestamp","trigger","response"
1,34,1,"Choice","11/8/2017 8:13:31","Answered","Choice(s): B"
1,34,1,"Choice","11/8/2017 8:13:35","NAVIGATION","Choice(s): B"
1,66,2,"Choice","11/8/2017 8:14:07","Answered",""
1,66,2,"Choice","11/8/2017 8:14:11","Answered","Choice(s): E"
1,66,2,"Choice","11/8/2017 8:14:13","NAVIGATION","Choice(s): E"
1,61,3,"Choice","11/8/2017 8:14:32","Answered","Choice(s): B"
1,61,3,"Choice","11/8/2017 8:14:34","NAVIGATION","Choice(s): B"
1,59,4,"Choice","11/8/2017 8:14:57","Answered","Choice(s): B"
1,59,4,"Choice","11/8/2017 8:14:59","Answered","Choice(s): E"
1,59,4,"Choice","11/8/2017 8:15:00","Answered","Choice(s): A"
1,59,4,"Choice","11/8/2017 8:15:01","Answered","Choice(s): E"
1,59,4,"Choice","11/8/2017 8:15:24","Answered","Choice(s): A"
1,59,4,"Choice","11/8/2017 8:15:44","NAVIGATION","Choice(s): A"
1,54,5,"Choice","11/8/2017 8:16:07","Answered",""
1,54,5,"Choice","11/8/2017 8:16:11","Answered","Choice(s): C"
1,54,5,"Choice","11/8/2017 8:16:13","NAVIGATION","Choice(s): C"
1,25,6,"Choice","11/8/2017 8:16:24","Answered","Choice(s): C"
1,25,6,"Choice","11/8/2017 8:16:29","NAVIGATION","Choice(s): C"
1,37,7,"Choice","11/8/2017 8:16:53","Answered","Choice(s): D"
1,37,7,"Choice","11/8/2017 8:16:55","NAVIGATION","Choice(s): D"
1,39,8,"Choice","11/8/2017 8:17:06","Answered",""
1,39,8,"Choice","11/8/2017 8:17:25","Answered","Choice(s): C"
1,39,8,"Choice","11/8/2017 8:17:27","NAVIGATION","Choice(s): C"
1,20,9,"Choice","11/8/2017 8:17:36","Answered","Choice(s): A"
1,20,9,"Choice","11/8/2017 8:17:37","Answered","Choice(s): B"
1,20,9,"Choice","11/8/2017 8:18:13","Answered","Choice(s): C"
1,20,9,"Choice","11/8/2017 8:18:15","NAVIGATION","Choice(s): C"
1,43,10,"Choice","11/8/2017 8:18:37","Answered","Choice(s): A"
1,43,10,"Choice","11/8/2017 8:18:45","NAVIGATION","Choice(s): A"
1,88,11,"Choice","11/8/2017 8:18:57","Answered","Choice(s): E"
1,88,11,"Choice","11/8/2017 8:19:02","NAVIGATION","Choice(s): E"
1,63,12,"Choice","11/8/2017 8:19:06","Answered",""
1,63,12,"Choice","11/8/2017 8:19:21","Answered","Choice(s): C"
1,63,12,"Choice","11/8/2017 8:19:45","NAVIGATION","Choice(s): C"
1,89,13,"Choice","11/8/2017 8:20:07","Answered",""
1,89,13,"Choice","11/8/2017 8:20:24","Answered","Choice(s): D"
1,89,13,"Choice","11/8/2017 8:20:27","NAVIGATION","Choice(s): D"
1,46,14,"Choice","11/8/2017 8:20:49","Answered","Choice(s): A"
1,46,14,"Choice","11/8/2017 8:20:51","NAVIGATION","Choice(s): A"
1,47,15,"Choice","11/8/2017 8:20:59","Answered","Choice(s): A"
1,47,15,"Choice","11/8/2017 8:21:05","NAVIGATION","Choice(s): A"
1,42,16,"Choice","11/8/2017 8:21:07","Answered",""
1,42,16,"Choice","11/8/2017 8:21:11","Answered","Choice(s): B"
1,42,16,"Choice","11/8/2017 8:21:15","NAVIGATION","Choice(s): B"
1,45,17,"Choice","11/8/2017 8:21:25","Answered","Choice(s): E"
1,45,17,"Choice","11/8/2017 8:21:28","NAVIGATION","Choice(s): E"
1,29,18,"Choice","11/8/2017 8:21:53","Answered","Choice(s): C"
1,29,18,"Choice","11/8/2017 8:21:56","NAVIGATION","Choice(s): C"
1,38,19,"Choice","11/8/2017 8:22:06","Answered",""
1,38,19,"Choice","11/8/2017 8:22:07","Answered","Choice(s): A"
1,38,19,"Choice","11/8/2017 8:22:11","Answered","Choice(s): C"
1,38,19,"Choice","11/8/2017 8:22:15","NAVIGATION","Choice(s): C"
1,55,20,"Choice","11/8/2017 8:22:35","Answered","Choice(s): C"
1,55,20,"Choice","11/8/2017 8:22:45","Answered","Choice(s): A"
1,55,20,"Choice","11/8/2017 8:22:48","NAVIGATION","Choice(s): A"
1,28,21,"Choice","11/8/2017 8:23:07","Answered","Choice(s): C"
1,28,21,"Choice","11/8/2017 8:23:10","Answered","Choice(s): A"
1,28,21,"Choice","11/8/2017 8:23:13","Answered","Choice(s): B"
1,28,21,"Choice","11/8/2017 8:23:13","Answered",""
1,28,21,"Choice","11/8/2017 8:23:17","Answered","Choice(s): B"
1,28,21,"Choice","11/8/2017 8:23:19","NAVIGATION","Choice(s): B"
1,86,22,"Choice","11/8/2017 8:23:27","Answered","Choice(s): B"
1,86,22,"Choice","11/8/2017 8:23:30","Answered","Choice(s): C"
1,86,22,"Choice","11/8/2017 8:23:32","Answered","Choice(s): B"
1,86,22,"Choice","11/8/2017 8:23:33","Answered","Choice(s): C"
1,86,22,"Choice","11/8/2017 8:23:34","Answered","Choice(s): B"
1,86,22,"Choice","11/8/2017 8:23:35","Answered","Choice(s): C"
1,86,22,"Choice","11/8/2017 8:23:37","Answered","Choice(s): B"
1,86,22,"Choice","11/8/2017 8:23:41","NAVIGATION","Choice(s): B"
1,53,23,"Choice","11/8/2017 8:24:06","Answered",""
1,53,23,"Choice","11/8/2017 8:25:07","Answered","Choice(s): C"
1,53,23,"Choice","11/8/2017 8:25:11","NAVIGATION","Choice(s): C"
1,30,24,"Choice","11/8/2017 8:25:14","Answered","Choice(s): A"
1,30,24,"Choice","11/8/2017 8:25:22","NAVIGATION","Choice(s): A"
1,31,25,"Choice","11/8/2017 8:25:48","Answered","Choice(s): D"
1,31,25,"Choice","11/8/2017 8:25:49","Answered",""
1,31,25,"Choice","11/8/2017 8:25:50","Answered","Choice(s): D"
1,31,25,"Choice","11/8/2017 8:25:53","NAVIGATION","Choice(s): D"
1,64,26,"Choice","11/8/2017 8:26:06","Answered",""
1,64,26,"Choice","11/8/2017 8:26:14","Answered","Choice(s): B"
1,64,26,"Choice","11/8/2017 8:26:20","NAVIGATION","Choice(s): B"
1,14,27,"Choice","11/8/2017 8:26:31","Answered","Choice(s): A"
1,14,27,"Choice","11/8/2017 8:26:37","NAVIGATION","Choice(s): A"
1,5,28,"Choice","11/8/2017 8:26:46","Answered","Choice(s): C"
1,5,28,"Choice","11/8/2017 8:27:34","NAVIGATION","Choice(s): C"
1,27,29,"Choice","11/8/2017 8:27:46","Answered","Choice(s): C"
1,27,29,"Choice","11/8/2017 8:28:09","Answered","Choice(s): B"
1,27,29,"Choice","11/8/2017 8:28:39","Answered","Choice(s): E"
1,27,29,"Choice","11/8/2017 8:28:43","NAVIGATION","Choice(s): E"
1,49,30,"Choice","11/8/2017 8:29:07","Answered",""
1,49,30,"Choice","11/8/2017 8:29:26","Answered","Choice(s): C"
1,49,30,"Choice","11/8/2017 8:29:27","Answered","Choice(s): A"
1,49,30,"Choice","11/8/2017 8:29:37","NAVIGATION","Choice(s): A"
1,18,31,"Choice","11/8/2017 8:29:43","Answered","Choice(s): C"
1,18,31,"Choice","11/8/2017 8:29:50","NAVIGATION","Choice(s): C"
1,41,32,"Choice","11/8/2017 8:30:07","Answered",""
1,41,32,"Choice","11/8/2017 8:30:08","Answered","Choice(s): D"
1,41,32,"Choice","11/8/2017 8:30:11","NAVIGATION","Choice(s): D"
1,83,33,"Choice","11/8/2017 8:30:18","Answered","Choice(s): D"
1,83,33,"Choice","11/8/2017 8:30:19","Answered","Choice(s): A"
1,83,33,"Choice","11/8/2017 8:30:20","Answered","Choice(s): B"
1,83,33,"Choice","11/8/2017 8:30:20","Answered","Choice(s): C"
1,83,33,"Choice","11/8/2017 8:30:21","Answered","Choice(s): B"
1,83,33,"Choice","11/8/2017 8:30:22","Answered","Choice(s): A"
1,83,33,"Choice","11/8/2017 8:30:23","Answered","Choice(s): C"
1,83,33,"Choice","11/8/2017 8:30:24","Answered","Choice(s): D"
1,83,33,"Choice","11/8/2017 8:30:25","Answered","Choice(s): E"
1,83,33,"Choice","11/8/2017 8:30:25","Answered","Choice(s): D"
1,83,33,"Choice","11/8/2017 8:30:26","Answered","Choice(s): E"
1,83,33,"Choice","11/8/2017 8:30:29","NAVIGATION","Choice(s): E"
1,77,34,"Choice","11/8/2017 8:30:39","Answered","Choice(s): D"
1,77,34,"Choice","11/8/2017 8:30:44","NAVIGATION","Choice(s): D"
1,73,35,"Choice","11/8/2017 8:30:47","NAVIGATION",""
1,77,34,"Choice","11/8/2017 8:30:50","NAVIGATION","Choice(s): D"
1,73,35,"Choice","11/8/2017 8:30:58","Answered","Choice(s): A"
1,73,35,"Choice","11/8/2017 8:31:00","NAVIGATION","Choice(s): A"
1,69,36,"Choice","11/8/2017 8:31:07","Answered",""
1,69,36,"Choice","11/8/2017 8:31:30","Answered","Choice(s): A"
1,69,36,"Choice","11/8/2017 8:31:38","NAVIGATION","Choice(s): A"
1,84,37,"Choice","11/8/2017 8:31:50","Answered","Choice(s): B"
1,84,37,"Choice","11/8/2017 8:31:52","Answered","Choice(s): A"
1,84,37,"Choice","11/8/2017 8:32:14","NAVIGATION","Choice(s): A"
1,58,38,"Choice","11/8/2017 8:32:53","Answered","Choice(s): D"
1,58,38,"Choice","11/8/2017 8:33:05","NAVIGATION","Choice(s): D"
1,9,39,"Choice","11/8/2017 8:33:07","Answered",""
1,9,39,"Choice","11/8/2017 8:33:13","Answered","Choice(s): E"
1,9,39,"Choice","11/8/2017 8:33:14","Answered","Choice(s): D"
1,9,39,"Choice","11/8/2017 8:33:14","Answered","Choice(s): E"
1,9,39,"Choice","11/8/2017 8:33:15","Answered","Choice(s): D"
1,9,39,"Choice","11/8/2017 8:33:23","NAVIGATION","Choice(s): D"
1,78,40,"Choice","11/8/2017 8:33:57","Answered","Choice(s): E"
1,78,40,"Choice","11/8/2017 8:34:40","NAVIGATION","Choice(s): E"
1,65,41,"Choice","11/8/2017 8:34:58","Answered","Choice(s): A"
1,65,41,"Choice","11/8/2017 8:35:04","NAVIGATION","Choice(s): A"
1,57,42,"Choice","11/8/2017 8:35:07","Answered",""
1,57,42,"Choice","11/8/2017 8:35:24","Answered","Choice(s): C"
1,57,42,"Choice","11/8/2017 8:35:27","Answered","Choice(s): D"
1,57,42,"Choice","11/8/2017 8:35:29","Answered","Choice(s): C"
1,57,42,"Choice","11/8/2017 8:35:31","Answered","Choice(s): D"
1,57,42,"Choice","11/8/2017 8:35:33","NAVIGATION","Choice(s): D"
1,79,43,"Choice","11/8/2017 8:36:00","Answered","Choice(s): D"
1,79,43,"Choice","11/8/2017 8:36:02","NAVIGATION","Choice(s): D"
1,70,44,"Choice","11/8/2017 8:36:07","Answered",""
1,70,44,"Choice","11/8/2017 8:36:21","Answered","Choice(s): A"
1,70,44,"Choice","11/8/2017 8:36:42","NAVIGATION","Choice(s): A"
1,52,45,"Choice","11/8/2017 8:37:07","Answered",""
1,52,45,"Choice","11/8/2017 8:37:17","Answered","Choice(s): C"
1,52,45,"Choice","11/8/2017 8:37:25","Answered","Choice(s): A"
1,52,45,"Choice","11/8/2017 8:37:30","Answered","Choice(s): C"
1,52,45,"Choice","11/8/2017 8:37:44","NAVIGATION","Choice(s): C"
1,11,46,"Choice","11/8/2017 8:38:07","Answered",""
1,11,46,"Choice","11/8/2017 8:38:52","Answered","Choice(s): E"
1,11,46,"Choice","11/8/2017 8:39:47","NAVIGATION","Choice(s): E"
1,35,47,"Choice","11/8/2017 8:39:53","Answered","Choice(s): D"
1,35,47,"Choice","11/8/2017 8:39:54","Answered","Choice(s): C"
1,35,47,"Choice","11/8/2017 8:39:56","Answered","Choice(s): D"
1,35,47,"Choice","11/8/2017 8:40:00","NAVIGATION","Choice(s): D"
1,23,48,"Choice","11/8/2017 8:40:07","Answered",""
1,23,48,"Choice","11/8/2017 8:40:44","Answered","Choice(s): D"
1,23,48,"Choice","11/8/2017 8:40:46","NAVIGATION","Choice(s): D"
1,15,49,"Choice","11/8/2017 8:40:51","Answered","Choice(s): C"
1,15,49,"Choice","11/8/2017 8:40:51","Answered","Choice(s): B"
1,15,49,"Choice","11/8/2017 8:40:52","Answered","Choice(s): E"
1,15,49,"Choice","11/8/2017 8:40:57","NAVIGATION","Choice(s): E"
1,32,50,"Choice","11/8/2017 8:41:07","Answered","Choice(s): B"
1,32,50,"Choice","11/8/2017 8:41:17","NAVIGATION","Choice(s): B"
1,48,51,"Choice","11/8/2017 8:41:25","Answered","Choice(s): B"
1,48,51,"Choice","11/8/2017 8:41:29","NAVIGATION","Choice(s): B"
1,6,52,"Choice","11/8/2017 8:41:33","NAVIGATION",""
1,48,51,"Choice","11/8/2017 8:41:50","Answered","Choice(s): E"
1,48,51,"Choice","11/8/2017 8:41:53","Answered","Choice(s): A"
1,48,51,"Choice","11/8/2017 8:41:56","Answered","Choice(s): C"
1,48,51,"Choice","11/8/2017 8:41:56","Answered",""
1,48,51,"Choice","11/8/2017 8:41:57","Answered","Choice(s): C"
1,48,51,"Choice","11/8/2017 8:41:58","Answered","Choice(s): D"
1,48,51,"Choice","11/8/2017 8:41:58","Answered","Choice(s): B"
1,48,51,"Choice","11/8/2017 8:41:59","Answered","Choice(s): E"
1,48,51,"Choice","11/8/2017 8:42:00","Answered","Choice(s): A"
1,48,51,"Choice","11/8/2017 8:42:16","Answered","Choice(s): B"
1,48,51,"Choice","11/8/2017 8:42:19","NAVIGATION","Choice(s): B"
1,6,52,"Choice","11/8/2017 8:42:38","Answered","Choice(s): A"
1,6,52,"Choice","11/8/2017 8:43:32","Answered","Choice(s): B"
1,6,52,"Choice","11/8/2017 8:43:35","NAVIGATION","Choice(s): B"
1,4,53,"Choice","11/8/2017 8:44:06","Answered","Choice(s): D"
1,4,53,"Choice","11/8/2017 8:44:15","NAVIGATION","Choice(s): D"
1,75,54,"Choice","11/8/2017 8:45:01","Answered","Choice(s): A"
1,75,54,"Choice","11/8/2017 8:45:05","NAVIGATION","Choice(s): A"
1,8,55,"Choice","11/8/2017 8:45:07","Answered",""
1,8,55,"Choice","11/8/2017 8:46:34","Answered","Choice(s): D"
1,8,55,"Choice","11/8/2017 8:46:57","NAVIGATION","Choice(s): D"
1,1,56,"Choice","11/8/2017 8:47:05","Answered","Choice(s): B"
1,1,56,"Choice","11/8/2017 8:47:08","Answered","Choice(s): A"
1,1,56,"Choice","11/8/2017 8:47:08","Answered",""
1,1,56,"Choice","11/8/2017 8:47:11","Answered","Choice(s): E"
1,1,56,"Choice","11/8/2017 8:47:25","Answered","Choice(s): A"
1,1,56,"Choice","11/8/2017 8:47:27","Answered",""
1,1,56,"Choice","11/8/2017 8:47:29","Answered","Choice(s): E"
1,1,56,"Choice","11/8/2017 8:47:29","Answered",""
1,1,56,"Choice","11/8/2017 8:47:34","Answered","Choice(s): E"
1,1,56,"Choice","11/8/2017 8:47:40","NAVIGATION","Choice(s): E"
1,72,57,"Choice","11/8/2017 8:48:07","Answered",""
1,72,57,"Choice","11/8/2017 8:48:09","Answered","Choice(s): C"
1,72,57,"Choice","11/8/2017 8:48:17","Answered","Choice(s): A"
1,72,57,"Choice","11/8/2017 8:48:28","Answered","Choice(s): C"
1,72,57,"Choice","11/8/2017 8:48:33","Answered","Choice(s): A"
1,72,57,"Choice","11/8/2017 8:48:55","Answered","Choice(s): C"
1,72,57,"Choice","11/8/2017 8:48:56","Answered","Choice(s): A"
1,72,57,"Choice","11/8/2017 8:48:59","NAVIGATION","Choice(s): A"
1,7,58,"Choice","11/8/2017 8:49:08","Answered",""
1,7,58,"Choice","11/8/2017 8:49:19","Answered","Choice(s): D"
1,7,58,"Choice","11/8/2017 8:49:21","NAVIGATION","Choice(s): D"
1,10,59,"Choice","11/8/2017 8:49:46","Answered","Choice(s): B"
1,10,59,"Choice","11/8/2017 8:49:52","NAVIGATION","Choice(s): B"
1,26,60,"Choice","11/8/2017 8:49:58","Answered","Choice(s): A"
1,26,60,"Choice","11/8/2017 8:50:03","NAVIGATION","Choice(s): A"
1,3,61,"Choice","11/8/2017 8:50:07","Answered",""
1,3,61,"Choice","11/8/2017 8:50:22","Answered","Choice(s): B"
1,3,61,"Choice","11/8/2017 8:50:44","NAVIGATION","Choice(s): B"
1,24,62,"Choice","11/8/2017 8:50:56","Answered","Choice(s): C"
1,24,62,"Choice","11/8/2017 8:50:56","Answered","Choice(s): D"
1,24,62,"Choice","11/8/2017 8:50:57","Answered","Choice(s): C"
1,24,62,"Choice","11/8/2017 8:50:58","Answered","Choice(s): D"
1,24,62,"Choice","11/8/2017 8:50:59","Answered","Choice(s): C"
